date,home_team,away_team,winner,first_shooter,home_shot_first,home_team_won,year,is_recent,prior_matchup_count
2022-11-16,Lithuania,Iceland,Iceland,Lithuania,1,0,2022,1,0
2022-11-16,Latvia,Estonia,Latvia,Latvia,1,1,2022,1,1
2022-11-19,Latvia,Iceland,Iceland,Iceland,0,0,2022,1,0
2022-12-05,Japan,Croatia,Croatia,Japan,1,0,2022,1,0
2022-12-06,Morocco,Spain,Morocco,Morocco,1,1,2022,1,0
2022-12-09,Croatia,Brazil,Croatia,Croatia,1,1,2022,1,0
2022-12-09,Netherlands,Argentina,Argentina,Netherlands,1,0,2022,1,2
2022-12-18,Argentina,France,Argentina,France,0,1,2022,1,0
2023-06-16,Curaçao,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,0,0,2023,1,0
2023-06-17,Guyana,Grenada,Guyana,Guyana,1,1,2023,1,0
2023-06-17,Suriname,Puerto Rico,Puerto Rico,Suriname,1,0,2023,1,0
2023-06-18,Croatia,Spain,Spain,Croatia,1,0,2023,1,0
2023-06-20,Saint Kitts and Nevis,French Guiana,Saint Kitts and Nevis,French Guiana,0,1,2023,1,0
2023-07-01,India,Lebanon,India,India,1,1,2023,1,0
2023-07-04,India,Kuwait,India,India,1,1,2023,1,0
2023-07-09,United States,Canada,United States,Canada,0,1,2023,1,1
2023-07-12,United States,Panama,Panama,United States,1,0,2023,1,2
2023-07-13,Åland Islands,Falkland Islands,Åland Islands,Åland Islands,1,1,2023,1,0
2023-09-07,Iraq,India,Iraq,India,0,1,2023,1,0
2023-09-10,Thailand,Iraq,Iraq,Thailand,1,0,2023,1,0
2023-10-13,Iraq,Qatar,Qatar,Qatar,0,0,2023,1,0
2023-11-21,Mexico,Honduras,Mexico,Mexico,1,1,2023,1,0
2024-01-28,Tajikistan,United Arab Emirates,Tajikistan,Tajikistan,1,1,2024,1,0
2024-01-28,Egypt,DR Congo,DR Congo,Egypt,1,0,2024,1,0
2024-01-29,Ivory Coast,Senegal,Ivory Coast,Senegal,0,1,2024,1,0
2024-01-30,Saudi Arabia,South Korea,South Korea,Saudi Arabia,1,0,2024,1,1
2024-01-31,Iran,Syria,Iran,Iran,1,1,2024,1,0
2024-02-03,Cape Verde,South Africa,South Africa,Cape Verde,1,0,2024,1,0
2024-02-03,Qatar,Uzbekistan,Qatar,Uzbekistan,0,1,2024,1,0
2024-02-07,Nigeria,South Africa,Nigeria,Nigeria,1,1,2024,1,0
2024-03-23,Tunisia,Croatia,Croatia,Croatia,0,0,2024,1,0
2024-03-26,New Zealand,Tunisia,Tunisia,New Zealand,1,0,2024,1,0
2024-03-26,Wales,Poland,Poland,Poland,0,0,2024,1,0
2024-03-26,Georgia,Greece,Georgia,Georgia,1,1,2024,1,0
2024-03-26,Turks and Caicos Islands,Anguilla,Anguilla,Turks and Caicos Islands,1,0,2024,1,0
2024-03-26,British Virgin Islands,United States Virgin Islands,British Virgin Islands,British Virgin Islands,1,1,2024,1,0
2024-06-11,Lithuania,Estonia,Estonia,Lithuania,1,0,2024,1,0
2024-07-01,Portugal,Slovenia,Portugal,Slovenia,0,1,2024,1,0
2024-07-04,Argentina,Ecuador,Argentina,Argentina,1,1,2024,1,0
2024-07-05,Venezuela,Canada,Canada,Venezuela,1,0,2024,1,0
2024-07-05,Portugal,France,France,France,0,0,2024,1,0
2024-07-06,England,Switzerland,England,England,1,1,2024,1,1
2024-07-06,Uruguay,Brazil,Uruguay,Uruguay,1,1,2024,1,3
2024-07-13,Canada,Uruguay,Uruguay,Canada,1,0,2024,1,0
